NU_ID;NU_NR;HH021;HH071_1;HH071_2;HH071_3;HH071_4;ADR_KEITE
30136300.0;301363.0;1.0;2.0;;;;NE
20033900.0;200339.0;1.0;2.0;;;;NE
30031700.0;300317.0;1.0;2.0;;;;NE
30199300.0;301993.0;1.0;2.0;;;;NE
10178900.0;101789.0;1.0;2.0;;;;NE
30296000.0;302960.0;1.0;2.0;;;;NE
20314400.0;203144.0;1.0;2.0;;;;NE
30089401.0;300894.0;5.0;2.0;;;;NE
30166700.0;301667.0;1.0;2.0;;;;NE
10184100.0;101841.0;1.0;2.0;;;;NE
20016800.0;200168.0;1.0;2.0;;;;NE
30288000.0;302880.0;5.0;2.0;;;;NE
20329300.0;203293.0;1.0;2.0;;;;NE
30160500.0;301605.0;1.0;2.0;;;;NE
10104400.0;101044.0;1.0;2.0;;;;NE
40274700.0;402747.0;1.0;2.0;;;;NE
10282800.0;102828.0;1.0;2.0;505.0;;;NE
10321900.0;103219.0;1.0;2.0;;;;NE
10260600.0;102606.0;1.0;2.0;;;;NE
10138000.0;101380.0;1.0;2.0;;;;NE
10239900.0;102399.0;1.0;2.0;;;;NE
20151200.0;201512.0;1.0;2.0;;;;NE
40073900.0;400739.0;1.0;2.0;;;;NE
30230300.0;302303.0;1.0;2.0;;;;NE
40162700.0;401627.0;1.0;2.0;;;;NE
30083900.0;300839.0;1.0;2.0;;;;NE
10202600.0;102026.0;1.0;2.0;;;;NE
20107300.0;201073.0;1.0;2.0;;;;NE
20314200.0;203142.0;5.0;2.0;;;;NE
40277400.0;402774.0;1.0;2.0;;;;NE
20301900.0;203019.0;2.0;1.0;;9.0;12.0;NE
20054200.0;200542.0;1.0;2.0;;;;NE
40168300.0;401683.0;1.0;2.0;;;;NE
30226100.0;302261.0;1.0;2.0;;;;NE
10287900.0;102879.0;1.0;2.0;;;;NE
20166000.0;201660.0;1.0;2.0;;;;NE
40184300.0;401843.0;1.0;2.0;;;;NE
30247600.0;302476.0;1.0;2.0;;;;NE
40006600.0;400066.0;1.0;2.0;;;;NE
40204700.0;402047.0;1.0;2.0;;;;NE
40339200.0;403392.0;1.0;2.0;;;;NE
40120700.0;401207.0;1.0;2.0;;;;NE
30029000.0;300290.0;1.0;2.0;;;;NE
20244500.0;202445.0;1.0;2.0;;;;NE
